Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-11-30,Cinema Paradiso,1988,https://boxd.it/3u41PV,5,Yes,,2018-01-10
2019-01-08,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/Bw62J,5,,,2018-12-28
2019-01-01,Sicario,2015,https://boxd.it/AVemN,3.5,,,2018-12-31
2019-01-02,Little Miss Sunshine,2006,https://boxd.it/B2Wzl,4,,,2019-01-02
2019-01-05,Spirited Away,2001,https://boxd.it/Bh0RL,5,,,2019-01-04
2019-01-07,Flavors of Youth,2018,https://boxd.it/Brv5t,1,,,2019-01-06
2019-01-07,Split,2016,https://boxd.it/BshMF,4.5,,,2019-01-06
2019-01-08,Unbreakable,2000,https://boxd.it/Bw3FD,3.5,,,2019-01-07
2019-01-14,The Ballad of Buster Scruggs,2018,https://boxd.it/BTQEv,4,,,2019-01-12
2019-01-14,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/BUzsp,3,,,2019-01-13
2019-01-16,Nocturnal Animals,2016,https://boxd.it/C30aj,4.5,,,2019-01-15
2019-01-18,Zodiac,2007,https://boxd.it/C9ML5,4,,,2019-01-17
2019-01-19,BlacKkKlansman,2018,https://boxd.it/CdAgd,4,,,2019-01-18
2019-01-20,The Invitation,2015,https://boxd.it/ChPmj,3,,,2019-01-19
2019-01-25,First Man,2018,https://boxd.it/CACgl,3.5,,,2019-01-24
2019-01-26,John Wick,2014,https://boxd.it/CD9it,2,,,2019-01-25
2019-01-26,"I, Tonya",2017,https://boxd.it/CE20T,4,,,2019-01-25
2019-01-27,Pan's Labyrinth,2006,https://boxd.it/CG4kv,4,,,2019-01-26
2019-01-28,Glass,2019,https://boxd.it/CMJCn,3.5,,,2019-01-27
2019-01-29,5 Centimeters per Second,2007,https://boxd.it/CQ8jV,2,,,2019-01-28
2019-02-02,Mother,2017,https://boxd.it/D207h,4.5,,,2019-02-01